id,title,description
"N-000","HS-EE 契約","起点（HとEEの契約）"
"N-001","EE-地権者 土地契約","地権者絡みの起点"
"N-002","関係法令手続","許認可系の親ノード"
"N-003","住民説明会","以降の許認可群の上位"
"N-004","農転許可取得","農地転用が必要なケース"
"N-005","建築リサイクル届","建リサ"
"N-006","消防届","消防関連"
"N-010","EE-EPC 工事請負契約","EPC契約の起点"
"N-011","着工前書類","着工前に必要"
"N-012","材発注","調達開始"
"N-013","キュービクルカギ メーカーへ送付","図中に「キュービクルカギ」"
"N-014","SSE 産廃契約（現場共有）","産廃周り"
"N-015","電力仕様・名義変更 EPC-EE","図下段の名義変更系列へ合流"
"N-016","産廃バッカン調整","産廃バッカン手配系"
"J-001","Junction 1","Branch point"
"J-002","Junction 2","Branch point to N-022"
"J-003","Junction 3","Branch point to N-024"
"J-004","Junction 4","Branch point to N-025"
"J-005","Junction 5","Branch point to N-029"
"J-006","Junction 6","Branch point to N-028"
"J-007","Junction 7","Branch point to N-026"
"J-008","Junction 8","Branch point to N-016"
"J-009","Junction 9","Branch point to N-040"
"J-010","Junction 10","Branch point to N-041"
"J-011","Junction 11","Branch point to N-050"
"J-012","Junction 12","Branch point to N-051"
"J-013","Junction 13","Branch point to N-052"
"J-014","Junction 14","Branch point to N-054"
"J-015","Junction 15","Branch point to N-053"
"J-016","Junction 16","Branch point to N-055"
"J-017","Junction 17","Branch point to N-056"
"J-018","Junction 18","Branch point to N-057"
"J-019","Junction 19","Branch point to N-090"
"J-020","Junction 20","Branch point to N-032"
"J-021","Junction 21","Branch point to N-084"
"J-022","Junction 22","Branch point to N-058"
"J-023","Junction 23","Branch point to N-060"
"J-024","Junction 24","Branch point to N-061"
"N-020","着工","「着工」起点"
"N-021","中間金書類","中間金関連"
"N-022","工事中主技と契約","「主技」契約（工事中）"
"N-023","材納入","材の搬入タイミング"
"N-024","モックアップ検査","施工前の確認工程"
"N-025","QB 納入","キュービクル（QB）"
"N-026","気象計測器手配","気象計測器の準備"
"N-027","気象計測器 保証書発行依頼","保証書発行依頼"
"N-028","標識・看板手配","現場標識/看板"
"N-029","カメラ用SDカード手配","SDカード手配"
"N-030","電力名義変更 EE-HS","図下段"
"N-031","受電日・発調開始日 決定","日程確定"
"N-032","発調申込 E・Flow と打合せ","発調の申込・調整"
"N-040","スマートロガー SIM手配（SmartEに依頼）（引渡し2か月前〜OK）","引渡し2か月前ルールが重要"
"N-041","監視カメラ手配（引渡し2か月前〜OK）","同上"
"N-042","カメラ用SDカード／スマートロガーSIM 送付","送付工程"
"N-050","機械的完工試験（IVカーブ）","IV試験"
"N-051","機械的完工 書類","完工書類"
"N-052","竣工検査","竣工検査を実施する。検査の１か月前にHSに連絡を入れる"
"N-053","使用前自己確認","使用前自己確認"
"N-054","受電","受電後工程へ"
"N-055","性能試験","性能試験"
"N-056","保安監督部 届出","保安監督部への届出"
"N-057","保安監督部 受理","受理"
"N-058","電気的完工 引渡書類","引渡し系に接続"
"N-059","引渡 BrON","BrON引渡"
"N-060","BrON 日時連絡","日程連絡（モーダルに担当/宛先必須）"
"N-061","土地登記完了資料 原本郵送必要書類","原本郵送がボトルネック化しやすい"
"N-062","SmartEへ QB鍵送付","QB鍵の送付"
"N-070","SmartEに FusionSolar 設定依頼","FusionSolar設定"
"N-071","共有","共有ノード（リンク格納向き）"
"N-072","SmartEと カメラ設定微調整","設定微調整"
"N-080","地目変更","上段登記系列"
"N-081","移転登記 地権者→EE","所有権移転"
"N-082","移転登記 EE→H","EE→H移転"
"N-083","登記完了","登記完了"
"N-084","法令関係 名義変更手続","名義変更系"
"N-090","バッカン回収日 決定連絡","産廃バッカン回収日の確定連絡"



